,S100A7,HLA-DQA1,MAGEA3,S100A8,DMBT1,MAGEC2,HLA-DQB1,C7,SPINK5,MS4A1,CHIT1,PLA2G1B,CD24,MME,PRAME,MAGEC1,LCN2,EPCAM,CTAG1B,KIT,CDH1,CXCL13,MAGEB2,ARG1,CT45A1,TREM1,TPSAB1,TPTE,CD22,CCL21,CD19,CEACAM6,CXCL6,SPP1,IL13RA2,CXCL14,ABCB1,USP9Y,PASD1,CR2,ITGB3,PAX5,S100B,CCL19,SSX1,BLK,CXCL9,SAA1,CCL27,MARCO,CD79B,LTB,CCL25,CTSG,CXCL2,MAGEA12,CD79A,FCER2,IL1B,C3,POU2AF1,CCL18,SERPINB2,CXCL10,CXCL1,SELL,TNFRSF13B,MUC1,CCR7,C4B,NCAM1,ITGB4,CD27,C4BPA,CD8A,IFI27,CXCL11,BTLA,MX1,IDO1,CD3E,CD3D,CD48,CTCFL,CMA1,CTLA4,IL22RA1,LIF,ZAP70,LAMP3,CCL24,CXCL5,SLC11A1,TCF7,MAGEA1,MAGEA4,LTK,IL1A,FCER1A,CD38
GSM2445716,3.239564327792423,3.425316053504977,3.1093007525205474,3.202135579165487,1.9301251515613111,3.718985172954885,2.9042813098031415,2.5485379624485267,3.0542048466659018,2.368634134779661,2.776190532436886,1.986551342241377,2.9066864032624227,3.1274664932180802,3.6519375319306944,2.9849687884953924,2.079265478366378,2.1181594502314667,2.079265478366378,2.7410034555194227,3.6283944839787554,2.3314974199178238,2.079265478366378,2.745677659152951,2.1851840874597452,2.1181594502314667,3.519379787270813,3.408083045058465,2.952145229810883,3.042796724003693,2.0357608477154905,1.9301251515613111,2.1851840874597452,2.9832661861378416,2.0357608477154905,3.6146714997157368,3.0028819678823337,1.567002952679939,1.40106112041606,2.3314974199178238,3.081937112860533,1.986551342241377,3.586753963026827,3.1710914743091876,1.1544017849985024,1.1544017849985024,3.2345698414312554,3.250112933980546,2.7959203325579884,2.484177807992875,2.518137375178077,2.7802631119897345,1.7858905177616267,3.0753375416485125,2.601036176484126,1.9301251515613111,2.711020867115228,2.214422506160562,2.1851840874597452,3.2674822017763927,1.7858905177616267,3.017991223910339,2.484177807992875,2.6382870540688335,2.518137375178077,2.711020867115228,1.864317926412524,2.6382870540688335,2.153258138693176,2.8944052013930524,2.214422506160562,3.074217224447327,2.6518699920345092,1.864317926412524,2.3314974199178238,3.586492654112118,2.567146213683009,2.4018526294291145,3.135978819903695,2.601036176484126,2.3314974199178238,2.6771349913857816,2.6771349913857816,1.40106112041606,2.9654855703459977,3.5605076438648515,2.745677659152951,2.7313912799267333,2.7002041090226188,2.3856850575492343,1.6897106904288128,2.079265478366378,2.368634134779661,2.745677659152951,1.6897106904288128,1.40106112041606,2.471928302835865,1.7858905177616267,2.9727681738968244,2.3856850575492343
GSM2445717,2.116071216913337,3.4975219117431053,1.9447426631983338,2.8988855685648027,1.9447426631983338,1.818753616546561,3.103304953444904,3.3554564037688075,1.818753616546561,3.23979916852109,2.9406384972196733,2.23195088057714,2.9855150686670067,3.493234633943354,3.699755874011832,2.23195088057714,2.0400947623282812,1.9447426631983338,2.23195088057714,2.3182284855263933,3.7697931521118755,2.928886810897059,0.6114206986714327,2.1787984243524456,2.725790396819138,2.869698243171918,2.997688856165791,2.1787984243524456,3.162536780212865,3.5895869868949415,3.065788215291363,1.818753616546561,0.6114206986714327,3.592288708442273,2.3540925532244024,3.324177373604445,2.685862470398338,2.962465638292404,0.6114206986714327,2.6256490309461578,2.5818801521278862,2.7436631592780754,3.8412182722583,3.5322448963496873,2.0400947623282812,2.7348821275202786,3.18906862186966,2.548360426930213,1.638178328088125,2.8942655120925407,3.145627087631827,3.2504231333834257,2.116071216913337,2.5103766080178413,2.685862470398338,1.9447426631983338,3.2546803884078592,2.7521526190073344,2.1787984243524456,3.179374799762831,2.638815888227083,2.965907110627734,1.9447426631983338,2.6513733122966823,3.608936006246497,3.18906862186966,2.638815888227083,2.7436631592780754,2.8536369553872927,3.1528462171225273,2.4155201424947506,2.725790396819138,3.0092262069200753,2.116071216913337,2.6748547022976243,3.117281132265769,2.597251044658741,3.061420559837607,3.2246487675610833,2.7978488123163627,2.9692967070862117,3.099658283136482,3.1396602411921775,2.0400947623282812,2.3540925532244024,2.962465638292404,1.818753616546561,2.23195088057714,3.1104112536015442,2.1787984243524456,1.9447426631983338,1.9447426631983338,3.050092502600992,3.178128983146573,1.3378611691286977,2.0400947623282812,3.1396602411921775,1.818753616546561,2.7521526190073344,2.638815888227083
GSM2445718,3.89891258443657,2.067608992301978,3.655917007030136,3.930003806047153,3.1160254918199297,3.3265398124542567,1.7589677422671137,3.306313772860227,3.486036967151965,2.2346505499278257,2.1324316476017153,2.3762663838832006,3.647224346925184,2.3762663838832006,3.857649870558606,3.512713090165406,3.44887903126203,3.3565015801539904,2.3462473277976916,3.6610852964843104,3.487876009607552,2.4288281136785255,2.4520739118789483,2.7678292381210636,2.187287521690172,2.473652819409927,3.3223527922314036,2.4036629243743044,2.4288281136785255,3.2013735096317513,2.4520739118789483,3.279618112629831,2.861399960356617,3.7718347960235468,2.473652819409927,3.567202590391691,2.7376783102635724,0.46942622913813625,1.2537223030260343,2.2346505499278257,2.921128424239653,1.9889650049463756,3.629812631995383,3.1538472460854297,1.8900523750496236,2.067608992301978,3.119080470932714,2.618108527798026,1.8900523750496236,2.276195984404586,2.684583765323043,2.8931588655579814,2.1324316476017153,2.3762663838832006,2.7678292381210636,2.928536595293076,2.932153080301362,2.2346505499278257,2.955981939139379,3.015247493011303,2.3462473277976916,3.460777621770419,2.965474653975898,2.630385347936294,3.1767648002998916,2.745557207889642,2.3131068615998918,3.069665388263104,2.3762663838832006,3.1910495877521927,2.4520739118789483,3.274198666820897,2.760620402058249,1.9889650049463756,2.7035086654063667,3.459817712166522,2.5626992914072724,2.276195984404586,3.120591097347304,2.473652819409927,2.684583765323043,2.7748377209967745,2.760620402058249,0.46942622913813625,2.187287521690172,2.591778712246162,2.7295497736910277,2.630385347936294,2.917333162004056,2.5302895606871787,2.605256889995767,2.6745869064841674,2.8247675328384876,2.75320031839707,2.4520739118789483,1.8900523750496236,3.163818720206018,2.4520739118789483,2.8247675328384876,2.712482145524897
GSM2445719,1.9044763382525505,2.3522782838416387,3.7336468808285592,3.1836646863782083,1.9768676447628741,2.705167873123507,1.9044763382525505,2.84100569236621,3.1868649795802626,2.4650177758202827,3.6868541463843076,1.9768676447628741,2.3522782838416387,3.741709027133318,3.7772356079910336,2.521987898702736,2.2759801026409363,1.9044763382525505,2.2131340613161123,1.7041207873030093,3.388416922009316,2.9457124309127334,2.5906829199413597,2.0378390123647097,2.2131340613161123,2.8331328729006966,2.7797035522316547,2.824996316610998,2.940700858174177,3.0872281493131526,2.6619074406626706,1.9044763382525505,2.534648309525901,3.8566511876996734,1.8161234845188725,3.037821350722042,2.9021765913930144,1.9768676447628741,3.248296337600033,1.9044763382525505,3.156017101157816,1.9768676447628741,3.8486505177352472,3.535712360392138,3.3077431480635906,1.8161234845188725,3.8092283039874637,2.4650177758202827,2.0902786210961457,3.3291404072514172,3.0004443054538688,3.341423254999763,1.7041207873030093,2.2759801026409363,3.4037903479872935,3.167714942714665,3.2313866571469787,2.1361279013858048,2.899163427085406,3.233895751460373,2.6984327089778244,3.535490501487391,1.5540361958471376,3.305629085110335,2.9624298151122432,3.1010165111862333,2.2131340613161123,2.8078626885506557,2.684421108766632,3.2382091813132066,2.4948801320534115,2.6373267242716256,3.262756816626604,2.0378390123647097,3.1737411333655903,3.408864485472511,3.2995770118171515,2.8735558058867134,3.4990131610718214,3.204320058174108,3.1884458747100832,3.235138100440197,3.3709685440962667,1.8161234845188725,2.0378390123647097,3.3245980685639416,1.8161234845188725,2.747974811428931,3.247717527718808,2.848630247495352,1.9044763382525505,2.246021856645311,2.9624298151122432,3.013627743784056,2.6286108787158895,2.747974811428931,2.534648309525901,2.176749594979483,2.1361279013858048,3.30219516309566
GSM2445720,2.3378165511363287,1.8289845710950738,2.2555797719391215,3.114599177552793,3.4714512582282895,2.2555797719391215,1.9165766199310181,3.817170799354747,2.473233409707905,3.382015273557554,3.3201232244926935,2.7373290506878862,3.478205593936963,3.424840972080777,2.883092439413069,2.222911616913059,2.7250349848006308,3.1313133230386057,2.473233409707905,3.0449726386027725,3.472790966804262,3.444108598814995,2.222911616913059,2.222911616913059,2.4222933204934693,3.220493024690879,3.5407312757673695,2.4032226629150446,3.4185165807159077,3.4903393334046102,3.2905556779804654,3.2536508274438662,2.516719723383315,3.3329128523779117,2.4571920361481436,3.200364414908245,3.0400673393852626,2.146439617912381,2.1009220847360046,3.119191125112148,3.062054512226446,2.9816050042063638,3.777952680382837,3.6671018397496726,2.382898009890638,2.9415105478029426,3.5318130116416775,2.608144433532468,2.285342225768057,3.382299035656019,3.3687474640779445,3.426605798631652,2.285342225768057,2.6611701007139765,3.5131186957972664,2.222911616913059,3.626816391255341,2.8187216463674174,2.911211345818209,3.656801155449743,3.2324089136185683,3.493016707438229,2.440244839716593,3.164771266508031,2.9170248001364554,3.2823594267125356,2.9170248001364554,3.4821927286329544,2.938915509677554,3.5499031800445713,2.754730699408167,3.4384726181480407,3.454287121475425,3.231765922616733,3.1779266758222535,3.616049259730495,3.157383802556765,3.060556927775657,3.6341312288788004,3.169253620639904,3.2177420906012024,3.2448352155240405,3.3189146138349566,1.9165766199310181,2.1867760084505545,3.220493024690879,2.1867760084505545,3.0384070674041523,3.3201232244926935,3.3496934815498176,1.7180151321011787,2.440244839716593,3.3028707955149335,3.3520636540262854,2.0488749624359635,2.361159628987702,3.0080426176107067,1.988378097995953,2.951604767455139,3.357039038020571
GSM2445721,1.859518747674141,2.015748536966666,2.015748536966666,2.662047233252647,2.2783590046412803,2.2106587699946383,2.015748536966666,2.776368983233033,2.17099381077473,2.765278201343824,2.6162085842175973,2.359343000363426,2.4426040621450893,2.7921362105588257,3.805765438588737,2.0751315671291746,2.126256450676229,2.17099381077473,2.359343000363426,3.492907164794339,2.5357521187100427,3.3415105395567437,1.859518747674141,2.015748536966666,2.359343000363426,2.492844280181146,3.1874498816589694,2.3345406473911234,3.5320008734939603,3.0138778404756392,2.6354824026529493,1.9453298969663624,1.6059225776667263,3.8100323153335545,2.2462083533476713,3.4849357442400732,2.715336686344426,2.0751315671291746,2.015748536966666,2.2783590046412803,3.5716032124461026,2.2462083533476713,3.854026088119687,3.2840507695462495,1.9453298969663624,2.17099381077473,3.7117408519739157,2.662047233252647,1.9453298969663624,2.6862138262847393,2.8069632219079192,3.118984182049131,1.750962954815099,2.735221747016353,2.8163751254325686,1.859518747674141,3.0038150868534914,2.359343000363426,2.46030615788656,3.370598338778279,2.522141927522459,3.14056443826877,2.3076599213307953,3.3298599238398916,2.5611756632746125,2.953142874658827,2.492844280181146,3.0177768906215072,2.5845055068724676,3.3481551767466486,2.403766966610088,2.6938032086456136,3.090791934603024,1.859518747674141,3.151064400593724,3.785967112420318,3.266236673029825,2.945254643331515,3.442761225984327,3.242750071223228,3.019700597515759,3.131754518114657,3.046678225947513,2.015748536966666,2.46030615788656,3.160068445092173,2.17099381077473,3.1091709582614695,3.1177828028961034,2.781736007448787,1.3944405549495262,2.2462083533476713,2.945254643331515,2.897878235019441,1.6059225776667263,2.015748536966666,2.46030615788656,1.750962954815099,2.626015359719328,3.0119019155042586
GSM2445722,2.555584046261449,3.496340449101024,2.555584046261449,3.030660218885551,2.6456015314230212,2.6187292940663784,3.2599494210678803,3.175182753642839,2.286601471098731,2.9845306530796476,3.3485840678615895,2.4743389449861013,2.5177924445757047,3.706858489409953,2.782210195190903,2.4234385726593155,2.4743389449861013,1.8307120676937993,2.6187292940663784,3.4605246479674636,3.391460332826587,2.766606501204126,2.4743389449861013,2.0503583698501946,2.8363460059000545,2.766606501204126,2.4234385726593155,2.555584046261449,3.1901378200481707,3.3780023954931533,2.9970016222545106,2.4234385726593155,3.1877225949878905,3.7735130478516217,2.0503583698501946,3.097126329420555,3.6733330580603543,2.188124251964067,2.0503583698501946,2.810763400469213,2.6456015314230212,2.6700428488780594,2.7968974324340254,3.1877225949878905,2.5177924445757047,2.362354433459322,3.1444589137380623,2.5889382767788596,2.362354433459322,2.9845306530796476,3.0144781185899867,3.059785406425427,2.4743389449861013,2.6187292940663784,2.9423097437164896,1.3545232351154812,3.150405987087336,2.870268729277336,2.823889533328844,2.766606501204126,2.0503583698501946,3.1802943856296637,2.4234385726593155,2.782210195190903,3.2514025371002484,3.0029828587372545,2.6924308961069565,2.188124251964067,2.555584046261449,3.0253988984307894,2.6187292940663784,2.990853849516534,2.964408518835503,2.0503583698501946,2.880583836848328,3.3576382725279603,2.6700428488780594,2.870268729277336,3.4428822828899692,2.7499741903977606,2.810763400469213,2.9090669003692646,3.159009967099008,2.286601471098731,2.4743389449861013,3.2849509225483264,2.286601471098731,2.362354433459322,3.61188186040642,2.6456015314230212,2.555584046261449,1.8307120676937993,2.6456015314230212,3.377125969128579,2.0503583698501946,1.8307120676937993,3.0551979932390703,2.0503583698501946,2.5177924445757047,2.870268729277336
GSM2445723,2.0132659491651426,2.2084901492446583,3.3535810317229497,3.0694448521862734,3.2559010797024412,2.421931171305799,2.547031611049251,3.5910775047082444,2.421931171305799,2.7855362483775177,2.9412578676799925,2.918484052342222,3.115417388614841,3.2235355196549147,3.7877368955882837,2.547031611049251,2.6518847762909177,2.9716457355366717,2.4584823446216353,3.0868486764493603,3.199546365953186,3.040327022515726,2.4584823446216353,2.520394680278124,2.38041795203281,3.177627295195032,3.2896010235449196,2.520394680278124,3.164736082647182,3.5264169137722017,2.774904171223775,3.1272024477921243,2.3325505949786516,3.938136071331435,2.421931171305799,2.752189891412388,2.976334425903668,3.1509561515351505,2.3325505949786516,2.5938200067060295,2.994161152150927,2.38041795203281,3.760030257492833,3.5248982009920162,2.0132659491651426,2.276289869890688,3.6455528294626727,2.614571689027528,2.2084901492446583,3.1703633426159037,3.1003233190493424,3.351469415717563,2.38041795203281,2.8149503946384486,3.5663177122340928,2.4910611654217427,3.1272024477921243,2.4910611654217427,2.8055291611789075,3.2461286055871703,2.614571689027528,3.344980704228699,2.4584823446216353,3.14263668901213,2.8932200833505037,3.084046254976259,3.112977051915264,3.3435062934629425,2.8723072987553446,3.4807375557591254,3.1202129279437014,3.2011354152034346,3.2640568922559505,2.994161152150927,3.3486145418601687,3.6748741772969087,3.138345118656969,2.98983679065195,3.503441780908241,3.5781949890000058,3.1685051649263083,3.174028489680105,3.2751272921636287,2.3325505949786516,2.2084901492446583,3.138345118656969,2.4584823446216353,3.078326592947004,3.252295107754161,3.234499799539002,1.0264110251571934,2.547031611049251,3.380775018581021,3.2058265080965764,2.2084901492446583,2.520394680278124,3.16282454685253,2.3325505949786516,2.8055291611789075,3.1794025190567683
GSM2445724,2.154581494952516,1.9715453906670757,2.446890005567078,2.836787092054034,2.32189419259826,2.5240523867446742,2.2485211714567317,3.400663499519428,2.2485211714567317,3.315287810117152,2.5660552545718605,2.188815478120118,2.982163458681589,3.027301716313688,3.8766514048793312,2.2748335061858422,2.2748335061858422,2.154581494952516,2.074295322604481,2.6192421811655855,3.7147033174078494,3.280620725903673,0.8089657115285883,2.188815478120118,2.074295322604481,2.6192421811655855,3.058209773603617,2.0264045778324493,3.2784665130146036,3.5678518089325304,3.240149824935298,1.4604568745486948,1.738516015152529,3.9193057558084092,2.074295322604481,3.260755102641144,2.7993792060908023,2.2199725144856335,1.8315975557544237,2.683557305104698,3.3566802251060004,2.8867083924392074,3.818159275678592,3.641973489009127,1.9715453906670757,2.7404294540697953,3.429525289676126,2.807330706218111,2.116669996806109,2.815033744792896,3.281475493397904,3.2958307479671887,2.074295322604481,2.46122534530108,2.8033869397771336,1.9076425211766974,3.360863645091467,3.0460980516027925,2.32189419259826,3.2303490879146057,2.683557305104698,2.8535343144863665,2.446890005567078,3.0620988818381787,2.5240523867446742,3.2128169637502086,2.791163929223008,2.5125180013449926,2.8332937954328106,3.3532612542246687,2.545824545250958,2.9587170122386395,3.173674021617644,1.738516015152529,3.0242592613517196,3.685567194402322,3.161357551080857,3.146531864464899,3.7354610661697434,3.075778209157932,3.085197664121372,3.102852735951639,3.1540812228555826,1.6200622937028404,2.2485211714567317,3.177371814542319,2.2485211714567317,2.913284799323835,3.2053346735854835,2.7454850331141976,2.074295322604481,2.074295322604481,2.9157830015329163,3.0931062549734984,2.2485211714567317,1.4604568745486948,3.027301716313688,2.0264045778324493,2.299209481929666,3.0148679781835117
GSM2445725,3.963025765497018,2.174343239632104,3.5633083544925728,3.906990565140368,2.4985842702960603,3.308819640263083,2.2905169872938176,2.747481109911009,3.505801060745652,3.0361694772834373,3.288255644160005,2.4435540730349286,3.526698548350179,2.9727084066778473,3.7244753992935284,2.584777139289762,3.0788253474695537,2.4435540730349286,2.687016274379023,3.185670710266328,3.5440606102633048,3.1738892447962788,2.463047546562563,3.223672968783405,2.422717200115337,2.514863605317883,3.9092419650237566,2.5969006188779904,3.432110240789367,3.554154514223086,3.0301867075557536,2.7606120143662296,2.1249233664433254,3.6735372380536773,2.514863605317883,3.8119034310314666,3.060327825841043,3.0044590087376886,2.2176358084436116,2.4985842702960603,3.390460645066322,2.584777139289762,3.8164354459954075,3.692080046890001,2.2905169872938176,2.584777139289762,3.6031931278599902,3.11697850484157,3.0772091097304823,2.8226317109820953,3.161365595547706,3.349347474667199,2.067595432277429,3.5344860253524706,3.2380298903072964,2.9129801781884774,3.2283235989585743,2.4435540730349286,2.60851708556075,3.373202630648281,2.584777139289762,3.490791238605192,2.985463030137078,3.1922322782889507,2.9025128733757217,3.239480479975306,2.3501477973221907,2.7730955029304942,2.9357059938894063,3.049515255499151,3.3657230747591207,3.5485179299847016,3.1738892447962788,2.067595432277429,3.248649771426359,3.9353586424571816,3.241635930460211,2.9447964031532106,3.831810271840861,3.131215730987747,3.1698014298009483,3.258707743798887,3.1687662333883204,2.174343239632104,3.324125300342979,3.3552324524822863,2.977898044604768,3.1248666779027405,3.2785240783326,3.1536810584344663,2.2176358084436116,1.6744038063574695,3.0301867075557536,3.4767603731802703,2.2905169872938176,2.321705658311628,2.992779043600594,2.558834300808046,3.2953679006778454,3.0089628370645194
GSM2445726,3.823087335407586,3.2523506138142557,1.7762302497452511,3.7800266036655983,2.1944977503068825,2.089286191978302,2.8122022802591182,2.1944977503068825,3.3778075984624496,1.8932870174028802,2.460297572211571,2.1944977503068825,3.6033116004918986,2.5742988150620594,2.713510079653101,1.8388722622836322,2.8228430556712665,2.4700882985040575,2.2751075739090774,2.696927133211266,3.4348010702280294,2.237198525557398,1.7028236365619038,3.0472944319282464,2.2165145221062534,2.6177728319173665,3.304935704780661,2.170983318577983,2.9267780575667794,3.1057654927108307,2.292555301942516,2.381164593383736,1.8932870174028802,3.2410846456928177,2.7402021490974775,3.5744277080444804,2.623460808236173,2.497661459331256,1.7028236365619038,2.2566896631446487,3.0423586301146974,1.1733671760402158,3.7989190699393403,2.990748280350136,1.7028236365619038,1.8932870174028802,2.8845310645425393,2.825432495117861,2.88653573259263,2.2165145221062534,2.4059294459120224,2.7402021490974775,1.7028236365619038,2.7011724819153224,2.852230418036394,1.9412330149584984,2.761059002734485,2.2566896631446487,2.639846783424025,2.8885234808516715,1.983974767364588,2.9382416908552975,2.814906075006491,2.0573689438290965,2.743798924185132,2.639846783424025,1.7762302497452511,3.222628315252857,1.9412330149584984,3.6395087590337165,2.5742988150620594,3.3487408303489836,2.2751075739090774,1.7762302497452511,2.1944977503068825,3.313263759237473,2.3542704031262938,2.1944977503068825,3.3476921948431406,2.7740674585581053,2.3091221808846663,2.339915455440832,2.6290329766155702,1.7762302497452511,2.3937936462266003,2.339915455440832,2.6450963189550563,2.867850787149327,2.7365541573606693,2.460297572211571,2.2165145221062534,2.6290329766155702,2.7328535806129506,3.1577325043852023,1.8932870174028802,1.8932870174028802,3.305997625599897,1.8932870174028802,2.9736640972105453,2.6926120150372954
GSM2445727,2.156862170164961,3.640466617811416,3.5928569333838247,3.283952815986231,3.626936293687086,2.4487526619540474,3.2747994716742936,3.6145888246017894,2.6095883255263583,2.565321876064336,2.9600236079752746,2.7199986193997967,3.3107710016319434,3.164662957838554,3.822494517740982,2.7457463983250934,2.737447124570535,3.1402863576181517,2.5808692491470553,3.5000763427953516,3.549198389716602,3.169700184307267,2.4239356168477024,1.7905380254233816,2.8454618029498318,3.27623721120194,3.498479275309747,3.355330074773231,2.8613189571839444,3.481588956364326,2.701290199149935,3.2460043820259576,2.156862170164961,3.362162107537942,2.548869673763753,3.102443446567785,2.9353208227852714,3.0727292541270947,2.2983270541083045,1.7905380254233816,3.5161420204003355,2.2108139470230586,3.710009229900924,3.349189437995981,1.9189078427126125,2.2983270541083045,3.3863444498214585,2.8102431213470664,2.2574231190027882,3.4566846146609658,3.0025274904244132,3.2110649639991635,2.156862170164961,2.471682147634509,3.4831381285486804,3.005273216170944,3.06251145276172,2.471682147634509,2.850864680501849,3.43697815225973,2.622901902848167,3.61314194650917,2.2983270541083045,2.8038471322181446,2.8284884029410358,2.927742115967971,2.3673371043193785,3.4159962937836443,2.396924960727614,3.4944169481220912,2.6914088317083906,3.138841817279644,3.1431449335666057,2.8901811123429337,3.2443158188424612,3.5219734662292463,2.7199986193997967,2.797281130616884,3.5136029871912293,2.9822876446304676,3.074714889380797,3.2007159581008136,2.991189286008457,2.093152370591302,1.9189078427126125,3.12535773199833,2.2574231190027882,3.018508663824354,3.2218467014344307,3.297848514584864,2.0159261594261073,2.67046180782536,3.336753973366118,3.15148601336859,2.492971890348266,1.9189078427126125,3.1805885495948645,2.2983270541083045,2.885608753008871,2.939018186540446
